#&a / °	I1 / %
-0.348	10.2
-0.351	10.2
-0.354	10.2
-0.357	10.2
-0.359	10.2
-0.362	10.2
-0.365	10.2
-0.368	10.2
-0.371	10.2
-0.374	10.2
-0.377	10.2
-0.380	10.2
-0.383	10.2
-0.386	10.2
-0.389	10.2
-0.392	10.2
-0.395	10.2
-0.398	10.2
-0.401	10.2
-0.404	10.2
-0.407	10.2
-0.410	10.2
-0.413	10.2
-0.416	10.2
-0.419	10.2
-0.422	10.2
-0.425	10.2
-0.428	10.1
-0.431	10.1
-0.434	10.2
-0.437	10.1
-0.440	10.1
-0.443	10.2
-0.446	10.1
-0.449	10.2
-0.452	10.2
-0.455	10.2
-0.458	10.2
-0.460	10.2
-0.463	10.2
-0.466	10.2
-0.469	10.2
-0.472	10.2
-0.475	10.2
-0.478	10.2
-0.481	10.2
-0.484	10.2
-0.487	10.2
-0.490	10.2
-0.493	10.2
-0.496	10.2
-0.499	10.2
-0.502	10.2
-0.505	10.2
-0.508	10.2
-0.511	10.2
-0.514	10.2
-0.517	10.2
-0.520	10.2
-0.523	10.2
-0.526	10.2
-0.529	10.2
-0.532	10.2
-0.535	10.2
-0.538	10.2
-0.541	10.2
-0.544	10.2
-0.547	10.2
-0.550	10.2
-0.553	10.2
-0.556	10.2
-0.559	10.2
-0.561	10.2
-0.564	10.2
-0.567	10.2
-0.570	10.2
-0.573	10.2
-0.576	10.2
-0.579	10.2
-0.582	10.2
-0.585	10.2
-0.588	10.2
-0.591	10.2
-0.594	10.2
-0.597	10.2
-0.600	10.2
-0.603	10.2
-0.606	10.2
-0.609	10.2
-0.612	10.2
-0.615	10.2
-0.618	10.2
-0.621	10.2
-0.624	10.2
-0.627	10.2
-0.630	10.2
-0.633	10.2
-0.636	10.2
-0.639	10.2
-0.642	10.2
-0.645	10.2
-0.648	10.2
-0.651	10.2
-0.654	10.2
-0.657	10.2
-0.660	10.2
-0.662	10.2
-0.665	10.2
-0.668	10.2
-0.671	10.2
-0.674	10.2
-0.677	10.2
-0.680	10.2
-0.683	10.2
-0.686	10.2
-0.689	10.2
-0.692	10.2
-0.695	10.2
-0.698	10.2
-0.701	10.2
-0.704	10.2
-0.707	10.2
-0.710	10.2
-0.713	10.2
-0.716	10.2
-0.719	10.2
-0.722	10.2
-0.725	10.2
-0.728	10.2
-0.731	10.2
-0.734	10.2
-0.737	10.2
-0.740	10.2
-0.743	10.2
-0.746	10.2
-0.749	10.2
-0.752	10.2
