#&a / °	I1 / %
-0.784	11.6
-0.787	11.6
-0.790	11.6
-0.793	11.7
-0.796	11.6
-0.799	11.7
-0.802	11.7
-0.805	11.7
-0.808	11.7
-0.811	11.7
-0.814	11.7
-0.817	11.7
-0.820	11.7
-0.823	11.7
-0.826	11.7
-0.829	11.7
-0.832	11.7
-0.835	11.7
-0.838	11.7
-0.841	11.7
-0.844	11.7
-0.847	11.7
-0.850	11.7
-0.853	11.7
-0.856	11.7
-0.859	11.7
-0.861	11.7
-0.864	11.7
-0.867	11.7
-0.870	11.7
-0.873	11.7
-0.876	11.7
-0.879	11.7
-0.882	11.7
-0.885	11.7
-0.888	11.7
-0.891	11.7
-0.894	11.7
-0.897	11.7
-0.900	11.7
-0.903	11.7
-0.906	11.7
-0.909	11.7
-0.912	11.6
-0.915	11.6
-0.918	11.6
-0.921	11.6
-0.924	11.6
-0.927	11.6
-0.930	11.7
-0.933	11.7
-0.936	11.7
-0.939	11.7
-0.942	11.7
-0.945	11.6
-0.948	11.6
-0.951	11.6
-0.954	11.6
-0.957	11.6
-0.960	11.7
-0.962	11.6
-0.965	11.6
-0.968	11.6
-0.971	11.7
-0.974	11.7
-0.977	11.7
-0.980	11.7
-0.983	11.7
-0.986	11.6
-0.989	11.7
-0.992	11.7
-0.995	11.7
-0.998	11.7
-1.001	11.7
-1.004	11.7
-1.007	11.7
-1.010	11.7
-1.013	11.7
-1.016	11.7
-1.019	11.7
-1.022	11.7
-1.025	11.7
-1.028	11.7
-1.031	11.7
-1.034	11.7
-1.037	11.7
-1.040	11.7
-1.043	11.7
-1.046	11.7
-1.049	11.7
-1.052	11.7
-1.055	11.7
-1.058	11.7
-1.060	11.7
-1.063	11.7
-1.066	11.7
-1.069	11.7
-1.072	11.7
-1.075	11.7
-1.078	11.7
-1.081	11.7
-1.084	11.7
-1.087	11.7
-1.090	11.7
-1.093	11.7
-1.096	11.7
-1.099	11.7
-1.102	11.7
-1.105	11.7
-1.108	11.7
-1.111	11.7
-1.114	11.7
-1.117	11.7
-1.120	11.7
-1.123	11.7
-1.126	11.7
-1.129	11.7
-1.132	11.7
-1.135	11.6
-1.138	11.7
-1.141	11.7
-1.144	11.7
-1.147	11.6
-1.150	11.6
-1.153	11.7
-1.156	11.6
-1.158	11.6
-1.161	11.7
-1.164	11.6
-1.167	11.6
-1.170	11.6
-1.173	11.6
-1.176	11.6
-1.179	11.6
-1.182	11.6
-1.185	11.6
-1.188	11.6
-1.191	11.6
-1.194	11.6
-1.197	11.6
-1.200	11.6
-1.203	11.7
-1.206	11.7
-1.209	11.6
-1.212	11.6
-1.215	11.7
-1.218	11.6
-1.221	11.6
-1.224	11.7
-1.227	11.7
-1.230	11.7
-1.233	11.7
-1.236	11.7
-1.239	11.7
-1.242	11.7
